beam,freq,sep_1,sep_2,rad_1,rad_2,sin_1,sin_2
1.82,25000000,0.08,0.16,0.04398437551,0.08813926747,0.04397019466,0.08802519302
1.82,26590000,0.09,0.18,0.049490897,0.09922483022,0.04947069606,0.09906208957
1.82,28400000,0.09,0.19,0.049490897,0.1047765148,0.04947069606,0.1045849119
1.82,30000000,0.09,0.2,0.049490897,0.1103345954,0.04947069606,0.1101108678
1.82,31600000,0.1,0.21,0.05500041409,0.115899419,0.05497268849,0.11564012
1.82,33200000,0.1,0.22,0.05500041409,0.1214713347,0.05497268849,0.121172831
1.82,35000000,0.11,0.22,0.06051326217,0.1214713347,0.06047633714,0.121172831
1.82,36500000,0.12,0.235,0.06602977745,0.1298432735,0.06598180702,0.129478737
1.82,38300000,0.12,0.245,0.06602977745,0.1354344575,0.06598180702,0.1350208028
1.82,40000000,0.13,0.255,0.07155029702,0.1410339692,0.07148926301,0.1405668927
1.82,41600000,0.135,0.26,0.07431216401,0.1438369594,0.07424378725,0.1433414967
1.82,43300000,0.14,0.265,0.07707515894,0.1466421658,0.07699886974,0.146117167
1.82,45000000,0.145,0.27,0.07983932421,0.1494496334,0.07975453104,0.1488939233
1.82,46700000,0.15,0.3,0.08260470233,0.1663444622,0.08251079167,0.1655783844
1.82,48300000,0.16,0.305,0.08813926747,0.1691690307,0.08802519302,0.1683633001
1.82,50000000,0.16,0.31,0.08813926747,0.1719962258,0.08802519302,0.1711494604
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Actual Speed of Sound,,,,,,,
Measured speed of sound from 1st order data,,,,,,,
Measured speed of sound from 2nd order data,,,,,,,
Measured laser wavelength from 1st order data,,,,,,,
Measured laser wavelength from 2nd order data,,,,,,,
Actual laser wavelength,,,,,,,